,Unnamed: 0,Gene,n_cells,highly_variable,means,dispersions,dispersions_norm
8413,8413,HLA-DQA1,2910,True,0.36828717227959545,2.346196874119578,1.4886595
8415,8415,HLA-DQB1,3393,True,0.4245159668968635,2.404656926572705,1.7278764
8419,8419,HLA-DRB1,11745,True,1.2437624920187385,2.647841518702809,1.022214
8422,8422,HLA-DRB5,5513,True,0.6199619463112283,2.294975479549765,0.8134829
8431,8431,HLCS,729,True,0.08131477344398616,2.0837151195932604,0.9560571
8432,8432,HLF,806,True,0.11042201103371914,2.1623944602928393,1.237243
8449,8449,HMGB1,29434,True,2.6325969627779697,2.78020556694157,0.9240834
8450,8450,HMGB2,21608,True,2.3248847794689005,3.2091129476749827,1.6023055
8468,8468,HMHB1,46,True,0.006165989432739068,2.219866878431558,1.4426392
8469,8469,HMMR,2822,True,0.32122368776532384,2.1890978418219245,0.8458146
8520,8520,HOOK1,1136,True,0.13691056579711797,2.2147421953868247,1.4243245
8523,8523,HOPX,4091,True,0.5482568663373217,2.358849672443889,1.5404344
8528,8528,HOTAIRM1,2308,True,0.2649085234632467,2.065257687987669,0.89009345
8552,8552,HOXB3,1959,True,0.21688292064669173,2.0281427912818857,0.7574514
8567,8567,HOXC4,30,True,0.004265211585064962,2.032284021829645,0.7722514
8583,8583,HP09053,330,True,0.030906783110930557,2.739941856688225,3.3012948
8587,8587,HPCAL4,135,True,0.02440653751828478,2.2368389737527106,1.5032945
8591,8591,HPGD,1138,True,0.36941603383429505,4.671527733764913,11.003849
8592,8592,HPGDS,851,True,0.14109330062235015,2.799110117869612,3.5127518
8605,8605,HPX,9,True,0.0015381455156205132,2.1217960759699444,1.0921516
8608,8608,HRAS,598,True,0.0643185704653472,2.0382391285799066,0.7935339
8610,8610,HRASLS2,37,True,0.005707004199965046,2.095715954180804,0.9989459
8623,8623,HRK,34,True,0.005451410035405217,2.26186885537177,1.5927469
8624,8624,HRNR,20,True,0.002357590883555471,2.220821893989582,1.4460523
8631,8631,HS3ST3B1,822,True,0.1061624159370421,2.070661761205909,0.90940666
8633,8633,HS3ST5,6,True,0.0011056059296071282,2.8157900755054204,3.572363
8652,8652,HSD17B3,15,True,0.0018886491019781213,2.090088265224798,0.97883356
8682,8682,HSP90B1,22644,True,2.1623872319507567,3.5768583229830004,0.7810252
8683,8683,HSP90B2P,5750,True,0.5327597089470021,2.2324184082265197,1.0230812
8690,8690,HSPA1L,146,True,0.01931443890253738,2.0488822120235923,0.8315704
8694,8694,HSPA5,19415,True,2.0252190119977374,3.5132802024752574,0.7219002
8729,8729,HTR2B,165,True,0.019883760516404638,2.043159051452804,0.8111169
8761,8761,HYDIN2,25,True,0.003027888359313897,2.101474094970294,1.0195245
8774,8774,IBA57-AS1,33,True,0.0036495585269130945,2.1086249145682334,1.0450802
8775,8775,IBSP,3,True,0.0027311938996577197,3.8220673439256374,7.168619
8786,8786,ICK,1616,True,0.18076132500635061,2.0424002263503853,0.8084049
8788,8788,ICOS,533,True,0.09319326773702263,2.293890669385275,1.7071872
8793,8793,ID3,433,True,0.05490149275714468,2.088377079360926,0.97271806
8794,8794,ID4,11,True,0.0015031780507439696,2.495594384460235,2.4280405
8811,8811,IER3,1945,True,0.2351367267732933,2.1443077516615667,1.1726043
8818,8818,IFI27,591,True,0.1376920885771685,3.1954320445956945,4.929136
8821,8821,IFI30,5917,True,0.838813357023581,2.628463803712899,1.9237514
8824,8824,IFI44L,2266,True,0.33762169310751966,2.410437896668142,1.751532
8825,8825,IFI6,5295,True,0.6159180720350235,2.425464283377138,1.2479137
8826,8826,IFIH1,3519,True,0.3941336407807261,2.1750232019589375,0.78822154
8827,8827,IFIT1,852,True,0.12422096255157589,2.44611724690993,2.2512178
